variable_name,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
2019-01-09 09:00:00,99180,270.59,4.54,0.15,270.49,6.83
2019-01-09 10:00:00,99130,271.2,5.07,0.15,271.1,6.27
2019-01-09 11:00:00,99060,271.81,5.23,0.15,271.71,6.4
2019-01-09 12:00:00,99030,272.4,5.52,0.15,272.3,6.88
2019-01-09 13:00:00,99050,272.71,5.62,0.15,272.61,7.24
2019-01-09 14:00:00,99100,272.84,5.62,0.15,272.74,7.77
2019-01-09 15:00:00,99130,272.77,5.81,0.15,272.67,8.32
2019-01-09 16:00:00,99160,272.59,5.97,0.15,272.49,8.63
2019-01-09 17:00:00,99190,272.45,6.19,0.15,272.35,8.92
2019-01-09 18:00:00,99200,272.27,6.24,0.15,272.17,8.92
2019-01-09 19:00:00,99190,271.91,6.3,0.15,271.81,9
2019-01-09 20:00:00,99180,271.36,6.41,0.15,271.26,9.14
2019-01-09 21:00:00,99170,270.67,6.65,0.15,270.57,9.25
2019-01-09 22:00:00,99180,270.08,6.7,0.15,269.98,8.99
2019-01-09 23:00:00,99200,269.67,6.7,0.15,269.57,8.88
2019-01-10 00:00:00,99240,269.44,6.84,0.15,269.34,9.03
2019-01-10 01:00:00,99320,269.27,6.89,0.15,269.17,9.13
2019-01-10 02:00:00,99370,269.16,7.05,0.15,269.06,9.35
2019-01-10 03:00:00,99420,269.08,7.24,0.15,268.98,9.59
2019-01-10 04:00:00,99490,269.01,7.09,0.15,268.91,9.48
2019-01-10 05:00:00,99570,268.88,7.06,0.15,268.78,9.42
2019-01-10 06:00:00,99640,268.65,7.28,0.15,268.55,9.58
2019-01-10 07:00:00,99710,268.22,7.65,0.15,268.12,9.94
2019-01-10 08:00:00,99810,267.81,8.08,0.15,267.71,10.19
2019-01-10 09:00:00,99890,267.6,8.28,0.15,267.5,9.99
2019-01-10 10:00:00,99940,267.34,8.96,0.15,267.24,10.79
2019-01-10 11:00:00,99970,266.88,9.37,0.15,266.78,11.22
2019-01-10 12:00:00,100030,266.43,9.42,0.15,266.33,11.25
2019-01-10 13:00:00,100140,265.66,9.49,0.15,265.56,11.34
2019-01-10 14:00:00,100280,264.54,9.45,0.15,264.44,11.41
2019-01-10 15:00:00,100420,263.15,9.14,0.15,263.05,11.29
2019-01-10 16:00:00,100540,261.78,8.76,0.15,261.68,11.35
2019-01-10 17:00:00,100640,260.92,8.58,0.15,260.82,11.29
2019-01-10 18:00:00,100740,260.33,8.4,0.15,260.23,11.11
2019-01-10 19:00:00,100830,259.85,8.15,0.15,259.75,10.8
2019-01-10 20:00:00,100890,259.35,7.81,0.15,259.25,10.4
2019-01-10 21:00:00,100940,258.63,7.31,0.15,258.53,10.01
2019-01-10 22:00:00,100980,257.93,7.01,0.15,257.83,9.73
2019-01-10 23:00:00,101020,257.44,7.21,0.15,257.34,9.84
2019-01-11 00:00:00,101080,257.08,7.41,0.15,256.98,9.92
2019-01-11 01:00:00,101180,256.7,7.46,0.15,256.6,9.91
2019-01-11 02:00:00,101280,256.24,7.56,0.15,256.14,9.97
2019-01-11 03:00:00,101360,255.6,7.64,0.15,255.5,10.02
2019-01-11 04:00:00,101450,254.77,7.54,0.15,254.67,10
2019-01-11 05:00:00,101540,253.8,7.14,0.15,253.7,9.7
2019-01-11 06:00:00,101630,252.83,6.76,0.15,252.73,9.48
2019-01-11 07:00:00,101720,252.09,6.81,0.15,251.99,9.51
2019-01-11 08:00:00,101840,252.2,7.49,0.15,252.1,9.53
2019-01-11 09:00:00,101940,252.81,8.14,0.15,252.71,9.77
2019-01-11 10:00:00,101990,253.31,8.48,0.15,253.21,9.95
2019-01-11 11:00:00,101990,253.94,8.44,0.15,253.84,9.86
2019-01-11 12:00:00,102000,254.57,8.35,0.15,254.47,9.73
2019-01-11 13:00:00,102020,255.01,8.37,0.15,254.91,9.84
2019-01-11 14:00:00,102070,255.24,8.29,0.15,255.14,9.93
2019-01-11 15:00:00,102110,255.2,7.94,0.15,255.1,9.91
2019-01-11 16:00:00,102190,254.99,7.52,0.15,254.89,10.15
2019-01-11 17:00:00,102270,254.96,7.49,0.15,254.86,10.56
2019-01-11 18:00:00,102350,254.61,6.91,0.15,254.51,10.25
2019-01-11 19:00:00,102400,253.75,6.03,0.15,253.65,9.96
2019-01-11 20:00:00,102440,253.02,5.59,0.15,252.92,9.93
2019-01-11 21:00:00,102470,252.38,5.28,0.15,252.28,9.77
2019-01-11 22:00:00,102500,251.77,5.23,0.15,251.67,9.67
2019-01-11 23:00:00,102510,251.03,5.06,0.15,250.93,9.38
2019-01-12 00:00:00,102530,250.18,4.77,0.15,250.08,8.99
2019-01-12 01:00:00,102560,249.37,4.6,0.15,249.27,8.83
2019-01-12 02:00:00,102600,248.85,4.77,0.15,248.75,9.04
2019-01-12 03:00:00,102630,248.63,5.18,0.15,248.53,9.3
2019-01-12 04:00:00,102690,248.52,5.6,0.15,248.42,9.33
2019-01-12 05:00:00,102740,248.25,5.83,0.15,248.15,9.21
2019-01-12 06:00:00,102810,247.84,6,0.15,247.74,9.16
2019-01-12 07:00:00,102890,247.41,6.18,0.15,247.31,9.18
2019-01-12 08:00:00,102950,247.63,6.58,0.15,247.53,8.73
2019-01-12 09:00:00,103020,248.77,6.61,0.15,248.67,7.84
2019-01-12 10:00:00,103030,250.71,6.19,0.15,250.61,7.06
2019-01-12 11:00:00,102980,253.05,6.11,0.15,252.95,6.98
2019-01-12 12:00:00,102960,254.67,6.18,0.15,254.57,6.99
2019-01-12 13:00:00,102970,255.91,6.25,0.15,255.81,7.18
2019-01-12 14:00:00,102980,256.57,5.98,0.15,256.47,7.03
2019-01-12 15:00:00,103000,256.29,4.86,0.15,256.19,6.64
2019-01-12 16:00:00,103030,254.43,3.87,0.15,254.33,7.26
2019-01-12 17:00:00,103090,252.59,3.99,0.15,252.49,7.84
2019-01-12 18:00:00,103120,251.47,3.97,0.15,251.37,7.68
2019-01-12 19:00:00,103130,250.6,3.94,0.15,250.5,7.34
2019-01-12 20:00:00,103120,249.87,3.87,0.15,249.77,6.89
2019-01-12 21:00:00,103110,249.14,3.75,0.15,249.04,6.4
2019-01-12 22:00:00,103110,248.4,3.59,0.15,248.3,5.95
2019-01-12 23:00:00,103110,247.66,3.42,0.15,247.56,5.53
2019-01-13 00:00:00,103120,247,3.26,0.15,246.9,5.13
2019-01-13 01:00:00,103160,246.53,3.06,0.15,246.43,4.7
2019-01-13 02:00:00,103160,246.34,2.86,0.15,246.24,4.26
2019-01-13 03:00:00,103120,246.65,2.57,0.15,246.55,3.72
2019-01-13 04:00:00,103100,247.98,2.02,0.15,247.88,2.79
2019-01-13 05:00:00,103110,249.53,1.54,0.15,249.43,2.08
2019-01-13 06:00:00,103120,250.2,1.57,0.15,250.1,2.14
2019-01-13 07:00:00,103130,250.4,1.82,0.15,250.3,2.53
2019-01-13 08:00:00,103150,250.98,1.95,0.15,250.88,2.8
2019-01-13 09:00:00,103160,252.88,1.87,0.15,252.78,2.77
2019-01-13 10:00:00,103120,255.48,2,0.15,255.38,2.2
2019-01-13 11:00:00,103060,257.23,1.43,0.15,257.13,1.55
2019-01-13 12:00:00,102980,258.49,1.01,0.15,258.39,1.13
2019-01-13 13:00:00,102940,259.88,0.53,0.15,259.78,0.61
2019-01-13 14:00:00,102890,260.37,0.28,0.15,260.27,0.3
2019-01-13 15:00:00,102840,260.13,0.32,0.15,260.03,0.4
2019-01-13 16:00:00,102820,259.29,0.33,0.15,259.19,0.4
2019-01-13 17:00:00,102810,258.57,0.21,0.15,258.47,0.25
2019-01-13 18:00:00,102810,258.21,0.1,0.15,258.11,0.12
2019-01-13 19:00:00,102790,257.91,0.09,0.15,257.81,0.1
2019-01-13 20:00:00,102750,257.12,0.39,0.15,257.02,0.47
2019-01-13 21:00:00,102740,256.61,0.65,0.15,256.51,0.81
2019-01-13 22:00:00,102700,256.33,0.64,0.15,256.23,0.79
2019-01-13 23:00:00,102650,256.17,0.49,0.15,256.07,0.6
2019-01-14 00:00:00,102590,255.96,0.46,0.15,255.86,0.56
2019-01-14 01:00:00,102570,255.84,0.54,0.15,255.74,0.66
2019-01-14 02:00:00,102540,255.56,0.81,0.15,255.46,1.02
2019-01-14 03:00:00,102470,254.93,1.2,0.15,254.83,1.58
2019-01-14 04:00:00,102410,254.52,1.42,0.15,254.42,1.87
2019-01-14 05:00:00,102390,254.05,1.4,0.15,253.95,1.85
2019-01-14 06:00:00,102400,253.5,1.39,0.15,253.4,1.84
2019-01-14 07:00:00,102410,252.73,1.45,0.15,252.63,1.93
2019-01-14 08:00:00,102420,252.22,1.48,0.15,252.12,2.04
2019-01-14 09:00:00,102410,253.17,1.58,0.15,253.07,1.94
2019-01-14 10:00:00,102350,254.39,1.44,0.15,254.29,1.56
2019-01-14 11:00:00,102230,255.96,1.65,0.15,255.86,1.86
2019-01-14 12:00:00,102120,258.13,2.42,0.15,258.03,2.75
2019-01-14 13:00:00,102030,259.65,2.97,0.15,259.55,3.32
2019-01-14 14:00:00,101960,260.8,3.31,0.15,260.7,3.77
2019-01-14 15:00:00,101880,261.21,3.09,0.15,261.11,3.84
2019-01-14 16:00:00,101830,260.62,2.15,0.15,260.52,4.02
2019-01-14 17:00:00,101820,259.75,2.58,0.15,259.65,4.77
2019-01-14 18:00:00,101800,259.18,3.03,0.15,259.08,5.63
2019-01-14 19:00:00,101760,258.58,3.42,0.15,258.48,6.46
2019-01-14 20:00:00,101730,258.23,3.66,0.15,258.13,7.06
2019-01-14 21:00:00,101690,258.52,3.77,0.15,258.42,7.42
2019-01-14 22:00:00,101650,259.2,3.91,0.15,259.1,7.72
2019-01-14 23:00:00,101590,260.04,3.9,0.15,259.94,7.5
2019-01-15 00:00:00,101540,260.93,3.96,0.15,260.83,7.04
2019-01-15 01:00:00,101550,261.5,4,0.15,261.4,6.56
2019-01-15 02:00:00,101530,261.83,4,0.15,261.73,6.18
2019-01-15 03:00:00,101500,262.01,4.05,0.15,261.91,5.9
2019-01-15 04:00:00,101470,262.03,3.45,0.15,261.93,5.43
2019-01-15 05:00:00,101470,261.84,2.81,0.15,261.74,5.57
2019-01-15 06:00:00,101490,261.58,2.74,0.15,261.48,5.45
2019-01-15 07:00:00,101490,261.5,2.54,0.15,261.4,4.64
2019-01-15 08:00:00,101520,262.05,2.15,0.15,261.95,3.7
2019-01-15 09:00:00,101550,263.51,1.8,0.15,263.41,2.84
2019-01-15 10:00:00,101540,264.67,1.78,0.15,264.57,2.07
2019-01-15 11:00:00,101470,265.91,1.68,0.15,265.81,1.97
2019-01-15 12:00:00,101400,266.68,1.75,0.15,266.58,1.95
2019-01-15 13:00:00,101360,267.26,1.64,0.15,267.16,1.83
2019-01-15 14:00:00,101340,267.72,1.54,0.15,267.62,1.72
2019-01-15 15:00:00,101310,267.59,1.14,0.15,267.49,1.58
2019-01-15 16:00:00,101290,266.95,1.06,0.15,266.85,1.6
2019-01-15 17:00:00,101290,266.41,1.35,0.15,266.31,1.97
2019-01-15 18:00:00,101260,265.8,1.82,0.15,265.7,2.68
2019-01-15 19:00:00,101190,265.32,2.5,0.15,265.22,3.94
2019-01-15 20:00:00,101100,265.48,3.17,0.15,265.38,5.49
2019-01-15 21:00:00,101020,266.41,3.67,0.15,266.31,7.21
2019-01-15 22:00:00,100950,267.82,4.12,0.15,267.72,8.15
2019-01-15 23:00:00,100850,269.02,5.28,0.15,268.92,8.34
2019-01-16 00:00:00,100750,268.92,5.23,0.15,268.82,7.57
2019-01-16 01:00:00,100680,268.91,5.76,0.15,268.81,8.59
2019-01-16 02:00:00,100610,269.45,7.16,0.15,269.35,10.15
2019-01-16 03:00:00,100520,269.56,7.44,0.15,269.46,10.26
2019-01-16 04:00:00,100430,269.82,7.79,0.15,269.72,10.82
2019-01-16 05:00:00,100350,270.06,8.25,0.15,269.96,11.46
2019-01-16 06:00:00,100300,270.34,9.09,0.15,270.24,12.48
2019-01-16 07:00:00,100240,270.54,9.77,0.15,270.44,13.05
2019-01-16 08:00:00,100210,270.75,9.6,0.15,270.65,12.75
2019-01-16 09:00:00,100210,271.34,9.36,0.15,271.24,12.18
2019-01-16 10:00:00,100210,272.38,9.86,0.15,272.28,12.52
2019-01-16 11:00:00,100200,273.29,10.5,0.15,273.19,13.37
2019-01-16 12:00:00,100330,271.6,13.05,0.15,271.5,15.88
2019-01-16 13:00:00,100620,267.51,13.16,0.15,267.41,15.53
2019-01-16 14:00:00,100910,264.07,11.48,0.15,263.97,14
2019-01-16 15:00:00,101150,262.02,9.85,0.15,261.92,12.76
2019-01-16 16:00:00,101360,260.41,7.86,0.15,260.31,11.22
2019-01-16 17:00:00,101560,258.76,6.51,0.15,258.66,10.41
2019-01-16 18:00:00,101730,257.1,5.75,0.15,257,10.05
2019-01-16 19:00:00,101850,255.52,5.15,0.15,255.42,9.66
2019-01-16 20:00:00,101930,254.05,4.64,0.15,253.95,9.12
2019-01-16 21:00:00,102000,252.4,4.36,0.15,252.3,8.5
2019-01-16 22:00:00,102080,250.73,4.34,0.15,250.63,8.06
2019-01-16 23:00:00,102160,249.33,4.36,0.15,249.23,7.79
